Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
ZOMATO,true,0.0,0.0,0.0,0.0,0.0
DMART,true,0.0,0.0,0.0,0.0,0.0
BOSCHLTD,true,0.0,0.0,0.0,0.0,0.0
CHOLAFIN,true,0.0,0.0,0.0,0.0,0.0
IOC,true,0.0,0.0,0.0,0.0,0.0
VEDL,true,0.0,0.0,0.0,0.0,0.0
RECLTD,true,0.0,0.0,0.0,0.0,0.0
AMBUJACEM,true,0.0,0.0,0.0,0.0,0.0
IRCTC,true,0.0,0.0,0.0,0.0,0.0
SRF,true,0.0,0.0,0.0,0.0,0.0
NAUKRI,true,0.0,0.0,0.0,0.0,0.0
PFC,true,0.0,0.0,0.0,0.0,0.0
JINDALSTEL,true,0.0,0.0,0.0,0.0,0.0
LICI,true,0.0,0.0,0.0,0.0,0.0
PNB,true,0.0,0.0,0.0,0.0,0.0
TRENT,true,0.0,0.0,0.0,0.0,0.0
INDIGO,true,0.0,0.0,0.0,0.0,0.0
ICICIGI,true,0.0,0.0,0.0,0.0,0.0
BANKBARODA,true,0.0,0.0,0.0,0.0,0.0
ABB,true,0.0,0.0,0.0,0.0,0.0
MOTHERSON,true,0.0,0.0,0.0,0.0,0.0
TATAPOWER,true,0.0,0.0,0.0,0.0,0.0
SBICARD,true,0.0,0.0,0.0,0.0,0.0
PIDILITIND,true,0.0,0.0,0.0,0.0,0.0
MARICO,true,0.0,0.0,0.0,0.0,0.0
COLPAL,true,0.0,0.0,0.0,0.0,0.0
CANBK,true,0.0,0.0,0.0,0.0,0.0
BERGEPAINT,true,0.0,0.0,0.0,0.0,0.0
SHREECEM,true,0.0,0.0,0.0,0.0,0.0
TVSMOTOR,true,0.0,0.0,0.0,0.0,0.0
JIOFIN,true,0.0,0.0,0.0,0.0,0.0
TORNTPHARM,true,0.0,0.0,0.0,0.0,0.0
GAIL,true,0.0,0.0,0.0,0.0,0.0
DABUR,true,0.0,0.0,0.0,0.0,0.0
UNITDSPR,true,0.0,0.0,0.0,0.0,0.0
DLF,true,0.0,0.0,0.0,0.0,0.0
SIEMENS,true,0.0,0.0,0.0,0.0,0.0
ADANIPOWER,true,0.0,0.0,0.0,0.0,0.0
VBL,true,0.0,0.0,0.0,0.0,0.0
ZYDUSLIFE,true,0.0,0.0,0.0,0.0,0.0
HAVELLS,true,0.0,0.0,0.0,0.0,0.0
GODREJCP,true,0.0,0.0,0.0,0.0,0.0
ATGL,true,0.0,0.0,0.0,0.0,0.0
HAL,true,0.0,0.0,0.0,0.0,0.0
IRFC,true,0.0,0.0,0.0,0.0,0.0
ICICIPRULI,true,0.0,0.0,0.0,0.0,0.0
BAJAJHLDNG,true,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,true,0.0,0.0,0.0,0.0,0.0
ADANIGREEN,true,0.0,0.0,0.0,0.0,0.0
BEL,true,0.0,0.0,0.0,0.0,0.0
