Name,Selected,Price,Change,OI Change,Change Prev,OI Change Prev
AARTIIND,true,570.6500244140625,-5.62,0.0,-3.58,0.0
ABB,true,7568.9501953125,0.7,0.0,-5.29,0.0
ABBOTINDIA,true,29532.80078125,-1.21,0.0,-0.99,0.0
ABCAPITAL,true,213.86000061035156,-1.35,0.0,-1.51,0.0
ABFRL,true,317.3500061035156,2.65,0.0,-0.82,0.0
ACC,true,2440.64990234375,0.46,0.0,4.3,0.0
ADANIENT,true,2937.85009765625,-1.26,0.0,-1.45,0.0
ADANIPORTS,true,1430.5999755859375,-0.82,0.0,-2.67,0.0
ALKEM,true,6277.9501953125,-0.51,0.0,2.26,0.0
AMBUJACEM,true,623.0,-0.04,0.0,1.0,0.0
APOLLOHOSP,true,6900.25,-0.09,0.0,-0.3,0.0
APOLLOTYRE,true,523.6500244140625,3.13,0.0,3.01,0.0
ASHOKLEY,true,241.5500030517578,-2.52,0.0,-3.37,0.0
ASIANPAINT,true,3367.449951171875,2.86,0.0,4.7,0.0
ASTRAL,true,1923.0999755859375,1.24,0.0,-1.03,0.0
ATUL,true,7861.75,-0.31,0.0,-1.02,0.0
AUBANK,true,722.25,2.74,0.0,2.08,0.0
AUROPHARMA,true,1507.4000244140625,-1.95,0.0,-2.04,0.0
AXISBANK,true,1186.0999755859375,2.36,0.0,-1.4,0.0
BAJAJ-AUTO,true,11420.75,5.45,0.0,-0.56,0.0
BAJAJFINSV,true,1833.1500244140625,-1.29,0.0,4.16,0.0
BAJFINANCE,true,7345.5498046875,0.39,0.0,1.62,0.0
BALKRISIND,true,3063.449951171875,3.02,0.0,5.09,0.0
BALRAMCHIN,true,551.5499877929688,-2.9,0.0,-5.11,0.0
BANDHANBNK,true,195.69000244140625,-0.33,0.0,-1.98,0.0
BANKBARODA,true,232.8000030517578,-1.29,0.0,-5.7,0.0
Nifty Bank,true,51010.0,0.86,0.0,-1.51,0.0
BATAINDIA,true,1417.199951171875,0.78,0.0,-3.19,0.0
BEL,true,288.04998779296875,1.57,0.0,-5.25,0.0
BERGEPAINT,true,531.6500244140625,-3.38,0.0,1.45,0.0
BHARATFORG,true,1561.699951171875,0.68,0.0,-2.26,0.0
BHARTIARTL,true,1577.800048828125,2.5,0.0,-3.13,0.0
BHEL,true,258.75,-1.91,0.0,-9.21,0.0
BIOCON,true,385.29998779296875,3.1,0.0,4.07,0.0
BOSCHLTD,true,33209.6015625,2.63,0.0,-0.1,0.0
BPCL,true,340.25,-3.38,0.0,-1.54,0.0
BRITANNIA,true,6008.64990234375,2.83,0.0,-0.2,0.0
BSOFT,true,628.9000244140625,-3.78,0.0,-2.53,0.0
CANBK,true,101.75,-1.58,0.0,-7.31,0.0
CANFINHOME,true,865.5,-0.6,0.0,0.83,0.0
